n_trades,win_rate,avg_trade,profit_factor,cagr,sharpe,sortino,max_dd,exposure,worst_trade,worst_year,trades_per_year,market,source,filter,stop,cost,data_start,data_end
67,0.373134328358209,-0.0011554725751152248,0.47580781303035397,-0.02007613049942414,-1.0853883591480333,-1.4738984276858362,-0.07709114761596869,0.14712153518123666,-0.014007910311312077,-0.03520230948260028,17.392857142857142,EURUSD,ibkr_daily,E_prior_close_lt_sma180,stop_5pct,2x,2022-11-09,2026-09-17
67,0.43283582089552236,-0.000755472575115225,0.6145213835458105,-0.013228188531398066,-0.7096500222896974,-0.9674222267327124,-0.061280565595589254,0.14712153518123666,-0.013607910311312076,-0.03170952142367878,17.392857142857142,EURUSD,ibkr_daily,E_prior_close_lt_sma180,stop_10pct,1x,2022-11-09,2026-09-17
67,0.373134328358209,-0.0011554725751152248,0.47580781303035397,-0.02007613049942414,-1.0853883591480333,-1.4738984276858362,-0.07709114761596869,0.14712153518123666,-0.014007910311312077,-0.03520230948260028,17.392857142857142,EURUSD,ibkr_daily,E_prior_close_lt_sma180,stop_10pct,2x,2022-11-09,2026-09-17
93,0.44086021505376344,-0.0002764984143660388,0.8387429187090888,-0.006894134283719544,-0.30365219326749904,-0.43135563942641925,-0.05516422127505605,0.21179815209665956,-0.015423304221910671,-0.03539918473964487,24.14232409381663,EURUSD,ibkr_daily,G_prior_close_gt_sma180_control,no_stop,1x,2022-11-09,2026-09-17
93,0.3870967741935484,-0.0006764984143660386,0.6535986946787751,-0.016443048322035136,-0.7429345579981886,-1.0582151807386426,-0.07294099243855212,0.21179815209665956,-0.01582330422191067,-0.04615841426422029,24.14232409381663,EURUSD,ibkr_daily,G_prior_close_gt_sma180_control,no_stop,2x,2022-11-09,2026-09-17
93,0.44086021505376344,-0.0002764984143660388,0.8387429187090888,-0.006894134283719544,-0.30365219326749904,-0.43135563942641925,-0.05516422127505605,0.21179815209665956,-0.015423304221910671,-0.03539918473964487,24.14232409381663,EURUSD,ibkr_daily,G_prior_close_gt_sma180_control,stop_2pct,1x,2022-11-09,2026-09-17
93,0.3870967741935484,-0.0006764984143660386,0.6535986946787751,-0.016443048322035136,-0.7429345579981886,-1.0582151807386426,-0.07294099243855212,0.21179815209665956,-0.01582330422191067,-0.04615841426422029,24.14232409381663,EURUSD,ibkr_daily,G_prior_close_gt_sma180_control,stop_2pct,2x,2022-11-09,2026-09-17
93,0.44086021505376344,-0.0002764984143660388,0.8387429187090888,-0.006894134283719544,-0.30365219326749904,-0.43135563942641925,-0.05516422127505605,0.21179815209665956,-0.015423304221910671,-0.03539918473964487,24.14232409381663,EURUSD,ibkr_daily,G_prior_close_gt_sma180_control,stop_5pct,1x,2022-11-09,2026-09-17
93,0.3870967741935484,-0.0006764984143660386,0.6535986946787751,-0.016443048322035136,-0.7429345579981886,-1.0582151807386426,-0.07294099243855212,0.21179815209665956,-0.01582330422191067,-0.04615841426422029,24.14232409381663,EURUSD,ibkr_daily,G_prior_close_gt_sma180_control,stop_5pct,2x,2022-11-09,2026-09-17
93,0.44086021505376344,-0.0002764984143660388,0.8387429187090888,-0.006894134283719544,-0.30365219326749904,-0.43135563942641925,-0.05516422127505605,0.21179815209665956,-0.015423304221910671,-0.03539918473964487,24.14232409381663,EURUSD,ibkr_daily,G_prior_close_gt_sma180_control,stop_10pct,1x,2022-11-09,2026-09-17
93,0.3870967741935484,-0.0006764984143660386,0.6535986946787751,-0.016443048322035136,-0.7429345579981886,-1.0582151807386426,-0.07294099243855212,0.21179815209665956,-0.01582330422191067,-0.04615841426422029,24.14232409381663,EURUSD,ibkr_daily,G_prior_close_gt_sma180_control,stop_10pct,2x,2022-11-09,2026-09-17
192,0.453125,-0.0005019555538175418,0.7528996243499652,-0.025269910457219935,-0.7416449494550869,-1.085010843315954,-0.11752454706647764,0.44136460554371004,-0.020573680694722696,-0.0572715282990206,49.84221748400853,GBPUSD,ibkr_daily,A_none,no_stop,1x,2022-11-09,2026-09-17
192,0.3958333333333333,-0.0009019555538175421,0.6008436965046657,-0.04452437508552887,-1.3326494268950726,-1.920355434530411,-0.16739216296770765,0.44136460554371004,-0.020973680694722694,-0.07596456824811149,49.84221748400853,GBPUSD,ibkr_daily,A_none,no_stop,2x,2022-11-09,2026-09-17
192,0.453125,-0.0005019555538175418,0.7528996243499652,-0.025269910457219935,-0.7416449494550869,-1.085010843315954,-0.11752454706647764,0.44136460554371004,-0.020573680694722696,-0.0572715282990206,49.84221748400853,GBPUSD,ibkr_daily,A_none,stop_2pct,1x,2022-11-09,2026-09-17
192,0.3958333333333333,-0.0009019555538175421,0.6008436965046657,-0.04452437508552887,-1.3326494268950726,-1.920355434530411,-0.16739216296770765,0.44136460554371004,-0.020973680694722694,-0.07596456824811149,49.84221748400853,GBPUSD,ibkr_daily,A_none,stop_2pct,2x,2022-11-09,2026-09-17
192,0.453125,-0.0005019555538175418,0.7528996243499652,-0.025269910457219935,-0.7416449494550869,-1.085010843315954,-0.11752454706647764,0.44136460554371004,-0.020573680694722696,-0.0572715282990206,49.84221748400853,GBPUSD,ibkr_daily,A_none,stop_5pct,1x,2022-11-09,2026-09-17
192,0.3958333333333333,-0.0009019555538175421,0.6008436965046657,-0.04452437508552887,-1.3326494268950726,-1.920355434530411,-0.16739216296770765,0.44136460554371004,-0.020973680694722694,-0.07596456824811149,49.84221748400853,GBPUSD,ibkr_daily,A_none,stop_5pct,2x,2022-11-09,2026-09-17
